"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","b_game","b_hit_by_pitch","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","xbadiff","xslgdiff","wobadiff","fast_swing_rate","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Candelario, Jeimer",600869,2020,26,185,206,55,34,11,3,7,49,20,23.8,9.7,".297",".503",".369","0.872","0.206",".372","29","52","1",".277",".471",".373",".356",".351",".194",".457",".432",".404",".378",".020",".032",".017",,37.5,10.3,47.1,"101.954374925","95.267632164",27.9,45
"Nimmo, Brandon",607043,2020,27,186,225,52,33,8,3,8,43,33,19.1,14.7,".280",".484",".404","0.888","0.204",".326","18","55","6",".250",".423",".387",".359",".381",".173",".416",".373",".364",".326",".030",".061",".028",,30.8,7.7,32.9,"97.980723714","93.071893214",21.6,41.6
"Longoria, Evan",446334,2020,34,193,209,49,31,10,1,7,39,11,18.7,5.3,".254",".425",".297","0.722","0.171",".280","28","53","2",".282",".524",".308",".364",".329",".243",".351",".427",".312",".355","-0.028","-0.099","-0.056",,29.9,11.5,45.2,"101.530260256","95.520896474",21,45
"Riley, Austin",663586,2020,23,188,206,45,29,7,1,8,49,16,23.8,7.8,".239",".415",".301","0.716","0.176",".280","27","51","1",".265",".474",".307",".342",".325",".208",".369",".421",".321",".358","-0.026","-0.059","-0.035",,30.7,10,42.9,"101.303326667","95.046922681",30.1,54.2
"Jiménez, Eloy",650391,2020,23,213,226,63,35,14,0,14,56,12,24.8,5.3,".296",".559",".332","0.891","0.263",".340","41","55","0",".278",".540",".373",".364",".317",".262",".481",".469",".399",".378",".018",".019",".009",,32.9,16.5,55.7,"103.874396076","96.948955223",29.2,54.4
"Aguilar, Jesús",542583,2020,30,188,216,52,34,10,0,8,40,23,18.5,10.6,".277",".457",".352","0.809","0.180",".306","34","51","1",".271",".452",".347",".345",".348",".182",".383",".379",".342",".336",".006",".005",".002",,37.5,7.2,37.5,"99.078188947","93.762450461",22.3,47.3
"Crawford, Brandon",543063,2020,33,172,193,44,24,12,0,8,47,15,24.4,7.8,".256",".465",".326","0.791","0.209",".303","28","54","4",".235",".398",".334",".309",".311",".163",".408",".371",".346",".324",".021",".067",".025",,35.4,9.4,39.4,"98.74086254","93.673056111",31.5,54.6
"Vázquez, Christian",543877,2020,29,173,189,49,33,9,0,7,43,16,22.8,8.5,".283",".457",".344","0.801","0.174",".341","23","47","0",".218",".353",".346",".281",".285",".135",".416",".323",".377",".291",".065",".104",".065",,33.1,4.6,40,"98.429126154","93.35878876",22.9,47.6
"García, Avisaíl",541645,2020,29,181,207,43,31,10,0,2,49,20,23.7,9.7,".238",".326",".333","0.659","0.088",".315","15","53","6",".244",".375",".296",".317",".339",".131",".331",".365",".326",".334","-0.006","-0.049","-0.021",,37.1,3.8,37.1,"99.290871364","93.692910455",34.7,54.6
"Ruiz, Rio",547004,2020,26,185,204,41,21,11,0,9,46,17,22.5,8.3,".222",".427",".286","0.713","0.205",".244","32","54","0",".212",".356",".303",".277",".277",".144",".357",".320",".293",".281",".010",".071",".026",,27.7,8.5,39,"99.181741429","93.707106906",27.3,52
"Semien, Marcus",543760,2020,29,211,236,47,30,9,1,7,50,25,21.2,10.6,".223",".374",".305","0.679","0.151",".260","23","53","0",".209",".352",".299",".287",".293",".143",".329",".313",".292",".275",".014",".022",".012",,32.9,5,28.6,"96.361638375","92.211459874",23.3,44.1
"Kepler, Max",596146,2020,27,171,196,39,21,9,0,9,36,22,18.4,11.2,".228",".439",".321","0.760","0.211",".236","23","48","2",".258",".425",".328",".340",".349",".167",".349",".366",".287",".326","-0.030",".014","-0.012",,30.9,5.1,38.2,"99.204226765","93.676104222",21.2,44.8
"Tapia, Raimel",606132,2020,26,184,206,59,48,8,2,1,38,14,18.4,6.8,".321",".402",".369","0.771","0.081",".392","17","51","2",".244",".325",".338",".285",".305",".080",".385",".313",".396",".308",".077",".077",".053",,28.7,2,30,"96.593740405","92.307061689",18.7,51.1
"Arcia, Orlando",606115,2020,25,173,189,45,29,10,1,5,32,14,16.9,7.4,".260",".416",".317","0.733","0.156",".292","20","59","1",".281",".428",".317",".338",".339",".147",".348",".376",".317",".346","-0.021","-0.012","-0.021",,37.3,5.6,38.7,"99.346351","93.890230143",23.1,46.8
"Guerrero Jr., Vladimir",665489,2020,21,221,243,58,34,13,2,9,38,20,15.6,8.2,".262",".462",".329","0.791","0.200",".282","33","60","2",".268",".446",".338",".338",".334",".178",".366",".367",".317",".324","-0.006",".016",".000",,29.5,8.7,50.8,"104.137539231","96.564434725",24.7,47.9
"Davis, J.D.",605204,2020,27,190,229,47,32,9,0,6,56,31,24.5,13.5,".247",".389",".371","0.760","0.142",".318","19","56","7",".252",".424",".339",".355",".376",".172",".380",".406",".348",".357","-0.005","-0.035","-0.016",,29.6,8.9,45.2,"102.105949851","95.319305299",29.3,44.9
"Flores, Wilmer",527038,2020,28,198,213,53,29,11,1,12,36,13,16.9,6.1,".268",".515",".315","0.830","0.247",".272","32","55","1",".245",".430",".347",".309",".294",".185",".396",".346",".325",".298",".023",".085",".038",,37.4,6.1,34.4,"97.808676707","93.175661718",17.8,48
"Fletcher, David",664058,2020,26,207,230,66,50,13,0,3,25,20,10.9,8.7,".319",".425",".376","0.801","0.106",".348","18","49","0",".292",".351",".350",".316",".352",".059",".360",".317",".359",".329",".027",".074",".034",,30.8,0.5,17.8,"93.861628587","90.930814293",8.6,37.2
"Arenado, Nolan",571448,2020,29,182,201,46,29,9,0,8,20,15,10,7.5,".253",".434",".303","0.737","0.181",".241","26","48","0",".235",".392",".308",".288",".289",".157",".317",".293",".277",".259",".018",".042",".020",,27.1,5.4,33.7,"98.207786506","93.152140723",17.9,48.1
"Seager, Corey",608369,2020,26,212,232,65,37,12,1,15,37,17,15.9,7.3,".307",".585",".358","0.943","0.278",".309","41","52","1",".331",".656",".394",".434",".381",".325",".445",".498",".367",".398","-0.024","-0.071","-0.040",,38.4,15.8,55.9,"103.805088736","96.925112586",25.8,55.6
"Reynolds, Bryan",668804,2020,25,185,208,35,20,6,2,7,57,21,27.4,10.1,".189",".357",".275","0.632","0.168",".231","19","55","1",".228",".403",".278",".314",".310",".175",".329",".387",".273",".330","-0.039","-0.046","-0.036",,35.2,10.2,38.3,"99.182354844","93.601750078",27.7,46.8
"Machado, Manny",592518,2020,27,224,254,68,39,12,1,16,37,26,14.6,10.2,".304",".580",".370","0.950","0.276",".297","47","60","0",".300",".540",".391",".385",".372",".240",".432",".423",".356",".358",".004",".040",".006",,34.6,11,43.5,"102.695949158","95.565070368",21.7,46.7
"Pollock, AJ",572041,2020,32,196,210,54,29,9,0,16,45,12,21.4,5.7,".276",".566",".314","0.880","0.290",".277","34","55","0",".269",".499",".364",".345",".312",".230",".447",".422",".353",".350",".007",".067",".019",,37.9,10.5,43.1,"100.207984474","94.434710861",24.7,47.7
"Anderson, Tim",641313,2020,27,208,221,67,45,11,1,10,50,10,22.6,4.5,".322",".529",".357","0.886","0.207",".383","21","49","2",".286",".501",".376",".352",".324",".215",".470",".437",".421",".375",".036",".028",".024",,33.3,10.1,35.8,"99.049571899","93.615060633",30.9,55.2
"Gallo, Joey",608336,2020,26,193,226,35,17,8,0,10,79,29,35,12.8,".181",".378",".301","0.679","0.197",".240","26","57","4",".189",".415",".297",".315",".308",".226",".392",".429",".307",".322","-0.008","-0.037","-0.018",,28.9,14,43.9,"102.04771537","95.481172685",37.4,43.6
